district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Warangal_Rural,TSSD0237,139.46,"{'min': 104.85922241210938, 'max': 111.47528076171875, 'mean': 106.13326119087837, 'count': 592, 'sum': 62830.890625, 'median': 104.85922241210938}","(79.88459942400004, 17.83523181700002, 80.00451405900003, 18.01960718500004)",31-12-2023.geojson,Khanapur,,,,,
Warangal_Urban,TSSD0238,81.36,"{'min': 110.41573333740234, 'max': 113.59546661376953, 'mean': 112.48563179347826, 'count': 345, 'sum': 38807.54296875, 'median': 113.09281921386719}","(79.55364750200005, 17.86915675800003, 79.65825854800005, 17.98640269400005)",31-12-2023.geojson,Khila Warangal,,,,,
Suryapet,TSSD0239,172.15,"{'min': 138.71803283691406, 'max': 138.71803283691406, 'mean': 138.71803366762177, 'count': 698, 'sum': 96825.1875, 'median': 138.71803283691406}","(79.91293512200008, 16.880339314000025, 80.06097163900006, 17.02691814700006)",31-12-2023.geojson,Kodad,,,,,
Nagarkurnool,TSSD0240,205.2,"{'min': 96.80119323730469, 'max': 96.80119323730469, 'mean': 96.80119410569105, 'count': 861, 'sum': 83345.828125, 'median': 96.80119323730469}","(78.16474055700007, 16.14974309100006, 78.34461354300004, 16.333836054000074)",31-12-2023.geojson,Kodair,,,,,
Vikarabad,TSSD0241,249.51,"{'min': 94.03973388671875, 'max': 102.11503601074219, 'mean': 95.63132476076555, 'count': 1045, 'sum': 99934.734375, 'median': 94.03973388671875}","(77.46259225600005, 17.020933969000055, 77.71683994900008, 17.17841245900007)",31-12-2023.geojson,Kodangal,,,,,
Jagtial,TSSD0242,173.87,"{'min': 104.76234436035156, 'max': 117.13751983642578, 'mean': 112.2475539811066, 'count': 741, 'sum': 83175.4375, 'median': 112.68830108642578}","(78.78718529200006, 18.563739734000023, 78.98850070800006, 18.686862396000038)",31-12-2023.geojson,Kodimial,,,,,
Siddipet,TSSD0243,206.41,"{'min': 107.09225463867188, 'max': 115.20006561279297, 'mean': 109.56574409840728, 'count': 879, 'sum': 96308.2890625, 'median': 109.12454223632812}","(79.00475320700008, 18.075903099000072, 79.16300517000008, 18.272269959000027)",31-12-2023.geojson,Koheda,,,,,
Sangareddy,TSSD0244,227.62,"{'min': 99.34919738769531, 'max': 102.96321868896484, 'mean': 102.3894155334728, 'count': 956, 'sum': 97884.28125, 'median': 102.96321868896484}","(77.59549222600003, 17.509127681000052, 77.78321894100003, 17.705224807000036)",31-12-2023.geojson,Kohir,,,,,
Mahabubnagar,TSSD0245,223.05,"{'min': 96.01996612548828, 'max': 99.59092712402344, 'mean': 96.30002332089552, 'count': 938, 'sum': 90329.421875, 'median': 96.01996612548828}","(77.67537161200005, 16.697912056000064, 77.90854289100008, 16.881360866000023)",31-12-2023.geojson,Koilkonda,,,,,
Nagarkurnool,TSSD0246,550.84,"{'min': 89.71488952636719, 'max': 100.47055053710938, 'mean': 95.65046407907425, 'count': 2074, 'sum': 198379.0625, 'median': 96.80119323730469}","(78.21815549000007, 16.033659166000064, 78.66318925900003, 16.216795599000022)",31-12-2023.geojson,Kollapur,,,,,
Siddipet,TSSD0247,70.37,"{'min': 102.96560668945312, 'max': 107.09225463867188, 'mean': 105.6486328125, 'count': 300, 'sum': 31694.58984375, 'median': 107.09225463867188}","(78.82737597900007, 17.86888004900004, 78.93496047300005, 17.983517422000034)",31-12-2023.geojson,Komuravelli,,,,,
Rajanna Sircilla,TSSD0248,206.05,"{'min': 98.90245056152344, 'max': 104.76234436035156, 'mean': 104.4136960097254, 'count': 874, 'sum': 91257.5703125, 'median': 104.76234436035156}","(78.59701726600008, 18.404112823000048, 78.81650433000004, 18.58795516200007)",31-12-2023.geojson,Konaraopet,,,,,
Nalgonda,TSSD0249,129.18,"{'min': 119.6888656616211, 'max': 119.6888656616211, 'mean': 119.68885931776556, 'count': 546, 'sum': 65350.1171875, 'median': 119.6888656616211}","(78.91051620800005, 16.62638713000007, 79.06204241500006, 16.761790924000024)",31-12-2023.geojson,Kondamallapally,,,,,
Siddipet,TSSD0250,228.02,"{'min': 102.96560668945312, 'max': 107.09225463867188, 'mean': 103.9994071595634, 'count': 962, 'sum': 100047.4296875, 'median': 102.96560668945312}","(78.73352452400007, 17.87685569000007, 78.96029991500006, 18.053425754000045)",31-12-2023.geojson,Kondapak,,,,,
Sangareddy,TSSD0251,151.36,"{'min': 108.01195526123047, 'max': 108.01195526123047, 'mean': 108.01196442610063, 'count': 636, 'sum': 68695.609375, 'median': 108.01195526123047}","(77.93383054400005, 17.44954626200007, 78.07324348600008, 17.61087989500004)",31-12-2023.geojson,Kondapur,,,,,
Rangareddy,TSSD0252,130.56,"{'min': 100.92085266113281, 'max': 109.1966781616211, 'mean': 103.46259426416819, 'count': 547, 'sum': 56594.0390625, 'median': 100.92085266113281}","(78.01091079200006, 16.999636834000057, 78.09773848800006, 17.187709674000075)",31-12-2023.geojson,Kondurg,,,,,
